2024-06-20 15:57:21,346 - INFO - Model setup:
2024-06-20 15:57:21,346 - INFO - Model type: tokens
2024-06-20 15:57:21,346 - INFO - Speed: learn
2024-06-20 15:57:21,346 - INFO - Embedding model: doc2vec
2024-06-20 15:57:28,345 - INFO - Data is loaded from /home/doosti@chapman.edu/projects/Facebook/top2vec/data/processed_text_2024-06-20.txt
2024-06-20 15:57:28,345 - INFO - Number of documents: 820099
2024-06-20 15:57:29,389 - INFO - Training the model...
2024-06-20 15:57:29,733 - INFO - Pre-processing documents for training
2024-06-20 15:58:04,273 - INFO - Creating joint document/word embedding
2024-06-20 15:58:04,274 - INFO - collecting all words and their counts
2024-06-20 15:58:04,274 - INFO - PROGRESS: at example #0, processed 0 words (0/s), 0 word types, 0 tags
2024-06-20 15:58:04,318 - INFO - PROGRESS: at example #10000, processed 188662 words (4282168/s), 15753 word types, 10000 tags
2024-06-20 15:58:04,354 - INFO - PROGRESS: at example #20000, processed 335768 words (4143080/s), 21659 word types, 20000 tags
2024-06-20 15:58:04,393 - INFO - PROGRESS: at example #30000, processed 484405 words (3736265/s), 24952 word types, 30000 tags
2024-06-20 15:58:04,431 - INFO - PROGRESS: at example #40000, processed 634736 words (3992266/s), 29562 word types, 40000 tags
2024-06-20 15:58:04,473 - INFO - PROGRESS: at example #50000, processed 813997 words (4312942/s), 35224 word types, 50000 tags
2024-06-20 15:58:04,514 - INFO - PROGRESS: at example #60000, processed 986286 words (4183649/s), 40425 word types, 60000 tags
2024-06-20 15:58:04,560 - INFO - PROGRESS: at example #70000, processed 1156221 words (3715528/s), 44769 word types, 70000 tags
2024-06-20 15:58:04,602 - INFO - PROGRESS: at example #80000, processed 1310763 words (3633339/s), 48292 word types, 80000 tags
2024-06-20 15:58:04,649 - INFO - PROGRESS: at example #90000, processed 1498416 words (4068341/s), 51582 word types, 90000 tags
2024-06-20 15:58:04,692 - INFO - PROGRESS: at example #100000, processed 1683886 words (4243873/s), 57463 word types, 100000 tags
2024-06-20 15:58:04,746 - INFO - PROGRESS: at example #110000, processed 1922469 words (4474992/s), 61954 word types, 110000 tags
2024-06-20 15:58:04,788 - INFO - PROGRESS: at example #120000, processed 2101168 words (4247692/s), 63965 word types, 120000 tags
2024-06-20 15:58:04,830 - INFO - PROGRESS: at example #130000, processed 2279317 words (4240447/s), 67543 word types, 130000 tags
2024-06-20 15:58:04,869 - INFO - PROGRESS: at example #140000, processed 2436833 words (4070960/s), 69370 word types, 140000 tags
2024-06-20 15:58:04,910 - INFO - PROGRESS: at example #150000, processed 2604467 words (4084463/s), 72064 word types, 150000 tags
2024-06-20 15:58:04,951 - INFO - PROGRESS: at example #160000, processed 2770317 words (4060235/s), 75742 word types, 160000 tags
2024-06-20 15:58:04,993 - INFO - PROGRESS: at example #170000, processed 2943643 words (4082846/s), 79626 word types, 170000 tags
2024-06-20 15:58:05,032 - INFO - PROGRESS: at example #180000, processed 3094631 words (3880626/s), 82430 word types, 180000 tags
2024-06-20 15:58:05,071 - INFO - PROGRESS: at example #190000, processed 3229067 words (3450787/s), 84542 word types, 190000 tags
2024-06-20 15:58:05,113 - INFO - PROGRESS: at example #200000, processed 3373437 words (3444426/s), 87215 word types, 200000 tags
2024-06-20 15:58:05,164 - INFO - PROGRESS: at example #210000, processed 3542493 words (3338641/s), 89859 word types, 210000 tags
2024-06-20 15:58:05,220 - INFO - PROGRESS: at example #220000, processed 3758195 words (3868949/s), 94085 word types, 220000 tags
2024-06-20 15:58:05,264 - INFO - PROGRESS: at example #230000, processed 3912589 words (3506312/s), 96729 word types, 230000 tags
2024-06-20 15:58:05,307 - INFO - PROGRESS: at example #240000, processed 4065986 words (3521371/s), 99446 word types, 240000 tags
2024-06-20 15:58:05,354 - INFO - PROGRESS: at example #250000, processed 4236878 words (3672802/s), 102450 word types, 250000 tags
2024-06-20 15:58:05,401 - INFO - PROGRESS: at example #260000, processed 4408761 words (3664431/s), 104848 word types, 260000 tags
2024-06-20 15:58:05,446 - INFO - PROGRESS: at example #270000, processed 4569838 words (3580984/s), 107292 word types, 270000 tags
2024-06-20 15:58:05,487 - INFO - PROGRESS: at example #280000, processed 4709717 words (3430630/s), 109651 word types, 280000 tags
2024-06-20 15:58:05,537 - INFO - PROGRESS: at example #290000, processed 4894984 words (3733670/s), 111770 word types, 290000 tags
2024-06-20 15:58:05,590 - INFO - PROGRESS: at example #300000, processed 5098519 words (3813950/s), 114690 word types, 300000 tags
2024-06-20 15:58:05,637 - INFO - PROGRESS: at example #310000, processed 5270840 words (3639198/s), 117114 word types, 310000 tags
2024-06-20 15:58:05,679 - INFO - PROGRESS: at example #320000, processed 5429802 words (3791906/s), 120128 word types, 320000 tags
2024-06-20 15:58:05,723 - INFO - PROGRESS: at example #330000, processed 5610689 words (4178237/s), 122485 word types, 330000 tags
2024-06-20 15:58:05,764 - INFO - PROGRESS: at example #340000, processed 5782749 words (4139964/s), 124520 word types, 340000 tags
2024-06-20 15:58:05,806 - INFO - PROGRESS: at example #350000, processed 5949996 words (4051811/s), 126691 word types, 350000 tags
2024-06-20 15:58:05,849 - INFO - PROGRESS: at example #360000, processed 6136355 words (4262028/s), 129059 word types, 360000 tags
2024-06-20 15:58:05,889 - INFO - PROGRESS: at example #370000, processed 6292763 words (4003369/s), 130963 word types, 370000 tags
2024-06-20 15:58:05,929 - INFO - PROGRESS: at example #380000, processed 6448553 words (3902385/s), 133128 word types, 380000 tags
2024-06-20 15:58:05,969 - INFO - PROGRESS: at example #390000, processed 6610589 words (4035916/s), 134938 word types, 390000 tags
2024-06-20 15:58:06,010 - INFO - PROGRESS: at example #400000, processed 6780661 words (4089443/s), 137379 word types, 400000 tags
2024-06-20 15:58:06,050 - INFO - PROGRESS: at example #410000, processed 6937091 words (3985899/s), 139480 word types, 410000 tags
2024-06-20 15:58:06,089 - INFO - PROGRESS: at example #420000, processed 7091948 words (3954750/s), 141962 word types, 420000 tags
2024-06-20 15:58:06,130 - INFO - PROGRESS: at example #430000, processed 7260446 words (4139005/s), 143333 word types, 430000 tags
2024-06-20 15:58:06,169 - INFO - PROGRESS: at example #440000, processed 7422219 words (4087304/s), 144788 word types, 440000 tags
